Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield,country,GDP_per_capita,food_supply,_merge,GDP_per_capita_clean,gdp_group
AUSTRIA,Maize,1990-01-01,1110,4246.0,9.23,81800,AUSTRIA,35.6k,3510.0,both,35600.0,High GDP
AUSTRIA,Potatoes,1990-01-01,1110,4246.0,9.23,249854,AUSTRIA,35.6k,3510.0,both,35600.0,High GDP
AUSTRIA,Soybeans,1990-01-01,1110,4246.0,9.23,19046,AUSTRIA,35.6k,3510.0,both,35600.0,High GDP
AUSTRIA,Wheat,1990-01-01,1110,4246.0,9.23,50479,AUSTRIA,35.6k,3510.0,both,35600.0,High GDP
AUSTRIA,Maize,1991-01-01,1110,4487.0,8.15,84800,AUSTRIA,36.6k,3560.0,both,36600.0,High GDP
AUSTRIA,Potatoes,1991-01-01,1110,4487.0,8.15,236372,AUSTRIA,36.6k,3560.0,both,36600.0,High GDP
AUSTRIA,Soybeans,1991-01-01,1110,4487.0,8.15,24958,AUSTRIA,36.6k,3560.0,both,36600.0,High GDP
AUSTRIA,Wheat,1991-01-01,1110,4487.0,8.15,50735,AUSTRIA,36.6k,3560.0,both,36600.0,High GDP
AUSTRIA,Maize,1992-01-01,1110,3897.0,9.49,64800,AUSTRIA,37.1k,3550.0,both,37100.0,High GDP
AUSTRIA,Potatoes,1992-01-01,1110,3897.0,9.49,223470,AUSTRIA,37.1k,3550.0,both,37100.0,High GDP
AUSTRIA,Soybeans,1992-01-01,1110,3897.0,9.49,17480,AUSTRIA,37.1k,3550.0,both,37100.0,High GDP
AUSTRIA,Wheat,1992-01-01,1110,3897.0,9.49,53938,AUSTRIA,37.1k,3550.0,both,37100.0,High GDP
AUSTRIA,Maize,1993-01-01,1110,3984.0,8.48,89710,AUSTRIA,37.1k,3510.0,both,37100.0,High GDP
AUSTRIA,Potatoes,1993-01-01,1110,3984.0,8.48,284925,AUSTRIA,37.1k,3510.0,both,37100.0,High GDP
AUSTRIA,Soybeans,1993-01-01,1110,3984.0,8.48,23168,AUSTRIA,37.1k,3510.0,both,37100.0,High GDP
AUSTRIA,Wheat,1993-01-01,1110,3984.0,8.48,42246,AUSTRIA,37.1k,3510.0,both,37100.0,High GDP
AUSTRIA,Maize,1994-01-01,1110,3619.0,9.89,79160,AUSTRIA,38k,3560.0,both,38000.0,High GDP
AUSTRIA,Potatoes,1994-01-01,1110,3619.0,9.89,199650,AUSTRIA,38k,3560.0,both,38000.0,High GDP
AUSTRIA,Soybeans,1994-01-01,1110,3619.0,9.89,22505,AUSTRIA,38k,3560.0,both,38000.0,High GDP
AUSTRIA,Wheat,1994-01-01,1110,3619.0,9.89,52088,AUSTRIA,38k,3560.0,both,38000.0,High GDP
AUSTRIA,Maize,1995-01-01,1110,3402.0,8.79,85000,AUSTRIA,39.1k,3510.0,both,39100.0,High GDP
AUSTRIA,Potatoes,1995-01-01,1110,3402.0,8.79,267949,AUSTRIA,39.1k,3510.0,both,39100.0,High GDP
AUSTRIA,Soybeans,1995-01-01,1110,3402.0,8.79,22768,AUSTRIA,39.1k,3510.0,both,39100.0,High GDP
AUSTRIA,Wheat,1995-01-01,1110,3402.0,8.79,50856,AUSTRIA,39.1k,3510.0,both,39100.0,High GDP
AUSTRIA,Maize,1996-01-01,1110,3565.0,7.4,86200,AUSTRIA,40.1k,3550.0,both,40100.0,High GDP
AUSTRIA,Potatoes,1996-01-01,1110,3565.0,7.4,291997,AUSTRIA,40.1k,3550.0,both,40100.0,High GDP
AUSTRIA,Soybeans,1996-01-01,1110,3565.0,7.4,20100,AUSTRIA,40.1k,3550.0,both,40100.0,High GDP
AUSTRIA,Wheat,1996-01-01,1110,3565.0,7.4,50069,AUSTRIA,40.1k,3550.0,both,40100.0,High GDP
AUSTRIA,Maize,1997-01-01,1110,3689.6,8.37,97800,AUSTRIA,41k,3490.0,both,41000.0,High GDP
AUSTRIA,Potatoes,1997-01-01,1110,3689.6,8.37,288325,AUSTRIA,41k,3490.0,both,41000.0,High GDP
AUSTRIA,Soybeans,1997-01-01,1110,3689.6,8.37,22000,AUSTRIA,41k,3490.0,both,41000.0,High GDP
AUSTRIA,Wheat,1997-01-01,1110,3689.6,8.37,52044,AUSTRIA,41k,3490.0,both,41000.0,High GDP
AUSTRIA,Maize,1998-01-01,1110,3340.3,9.01,96100,AUSTRIA,42.6k,3610.0,both,42600.0,High GDP
AUSTRIA,Potatoes,1998-01-01,1110,3340.3,9.01,283064,AUSTRIA,42.6k,3610.0,both,42600.0,High GDP
AUSTRIA,Soybeans,1998-01-01,1110,3340.3,9.01,25189,AUSTRIA,42.6k,3610.0,both,42600.0,High GDP
AUSTRIA,Wheat,1998-01-01,1110,3340.3,9.01,50749,AUSTRIA,42.6k,3610.0,both,42600.0,High GDP
AUSTRIA,Maize,1999-01-01,1110,3418.6,9.17,96000,AUSTRIA,44.2k,3670.0,both,44200.0,High GDP
AUSTRIA,Potatoes,1999-01-01,1110,3418.6,9.17,307044,AUSTRIA,44.2k,3670.0,both,44200.0,High GDP
AUSTRIA,Soybeans,1999-01-01,1110,3418.6,9.17,27209,AUSTRIA,44.2k,3670.0,both,44200.0,High GDP
AUSTRIA,Wheat,1999-01-01,1110,3418.6,9.17,54348,AUSTRIA,44.2k,3670.0,both,44200.0,High GDP
AUSTRIA,Maize,2000-01-01,1110,3563.2,10.08,98600,AUSTRIA,45.7k,3730.0,both,45700.0,High GDP
AUSTRIA,Potatoes,2000-01-01,1110,3563.2,10.08,292627,AUSTRIA,45.7k,3730.0,both,45700.0,High GDP
AUSTRIA,Soybeans,2000-01-01,1110,3563.2,10.08,21139,AUSTRIA,45.7k,3730.0,both,45700.0,High GDP
AUSTRIA,Wheat,2000-01-01,1110,3563.2,10.08,44688,AUSTRIA,45.7k,3730.0,both,45700.0,High GDP
AUSTRIA,Maize,2001-01-01,1110,3132.2,8.75,90869,AUSTRIA,46.2k,3730.0,both,46200.0,High GDP
AUSTRIA,Potatoes,2001-01-01,1110,3132.2,8.75,300394,AUSTRIA,46.2k,3730.0,both,46200.0,High GDP
AUSTRIA,Soybeans,2001-01-01,1110,3132.2,8.75,20736,AUSTRIA,46.2k,3730.0,both,46200.0,High GDP
AUSTRIA,Wheat,2001-01-01,1110,3132.2,8.75,52412,AUSTRIA,46.2k,3730.0,both,46200.0,High GDP
AUSTRIA,Maize,2002-01-01,1110,3079.2,9.62,99815,AUSTRIA,46.9k,3650.0,both,46900.0,High GDP
AUSTRIA,Potatoes,2002-01-01,1110,3079.2,9.62,303832,AUSTRIA,46.9k,3650.0,both,46900.0,High GDP
AUSTRIA,Soybeans,2002-01-01,1110,3079.2,9.62,25244,AUSTRIA,46.9k,3650.0,both,46900.0,High GDP
AUSTRIA,Wheat,2002-01-01,1110,3079.2,9.62,49667,AUSTRIA,46.9k,3650.0,both,46900.0,High GDP
AUSTRIA,Maize,2004-01-01,1110,3301.7,8.76,96544,AUSTRIA,48.3k,3610.0,both,48300.0,High GDP
AUSTRIA,Potatoes,2004-01-01,1110,3301.7,8.76,316117,AUSTRIA,48.3k,3610.0,both,48300.0,High GDP
AUSTRIA,Soybeans,2004-01-01,1110,3301.7,8.76,25092,AUSTRIA,48.3k,3610.0,both,48300.0,High GDP
AUSTRIA,Wheat,2004-01-01,1110,3301.7,8.76,59234,AUSTRIA,48.3k,3610.0,both,48300.0,High GDP
AUSTRIA,Maize,2005-01-01,1110,3404.0,8.6,106570,AUSTRIA,49.2k,3640.0,both,49200.0,High GDP
AUSTRIA,Soybeans,2005-01-01,1110,3404.0,8.6,28267,AUSTRIA,49.2k,3640.0,both,49200.0,High GDP
AUSTRIA,Wheat,2005-01-01,1110,3404.0,8.6,50286,AUSTRIA,49.2k,3640.0,both,49200.0,High GDP
AUSTRIA,Maize,2006-01-01,1110,3415.7,9.13,96370,AUSTRIA,50.7k,3720.0,both,50700.0,High GDP
AUSTRIA,Potatoes,2006-01-01,1110,3415.7,9.13,298641,AUSTRIA,50.7k,3720.0,both,50700.0,High GDP
