Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield,country,GDP_per_capita,food_supply,_merge,GDP_per_capita_clean
ALBANIA,Maize,1990-01-01,1485,121.0,16.37,36613,ALBANIA,4750,2570.0,both,4750.0
ALBANIA,Potatoes,1990-01-01,1485,121.0,16.37,66667,ALBANIA,4750,2570.0,both,4750.0
ALBANIA,"Rice, paddy",1990-01-01,1485,121.0,16.37,23333,ALBANIA,4750,2570.0,both,4750.0
ALBANIA,Sorghum,1990-01-01,1485,121.0,16.37,12500,ALBANIA,4750,2570.0,both,4750.0
ALBANIA,Soybeans,1990-01-01,1485,121.0,16.37,7000,ALBANIA,4750,2570.0,both,4750.0
ALBANIA,Wheat,1990-01-01,1485,121.0,16.37,30197,ALBANIA,4750,2570.0,both,4750.0
ALBANIA,Maize,1991-01-01,1485,121.0,15.36,29068,ALBANIA,3460,2570.0,both,3460.0
ALBANIA,Potatoes,1991-01-01,1485,121.0,15.36,77818,ALBANIA,3460,2570.0,both,3460.0
ALBANIA,"Rice, paddy",1991-01-01,1485,121.0,15.36,28538,ALBANIA,3460,2570.0,both,3460.0
ALBANIA,Sorghum,1991-01-01,1485,121.0,15.36,6667,ALBANIA,3460,2570.0,both,3460.0
ALBANIA,Soybeans,1991-01-01,1485,121.0,15.36,6066,ALBANIA,3460,2570.0,both,3460.0
ALBANIA,Wheat,1991-01-01,1485,121.0,15.36,20698,ALBANIA,3460,2570.0,both,3460.0
ALBANIA,Maize,1992-01-01,1485,121.0,16.06,24876,ALBANIA,3260,2650.0,both,3260.0
ALBANIA,Potatoes,1992-01-01,1485,121.0,16.06,82920,ALBANIA,3260,2650.0,both,3260.0
ALBANIA,"Rice, paddy",1992-01-01,1485,121.0,16.06,40000,ALBANIA,3260,2650.0,both,3260.0
ALBANIA,Sorghum,1992-01-01,1485,121.0,16.06,3747,ALBANIA,3260,2650.0,both,3260.0
ALBANIA,Soybeans,1992-01-01,1485,121.0,16.06,4507,ALBANIA,3260,2650.0,both,3260.0
ALBANIA,Wheat,1992-01-01,1485,121.0,16.06,24388,ALBANIA,3260,2650.0,both,3260.0
ALBANIA,Maize,1993-01-01,1485,121.0,16.05,24185,ALBANIA,3600,2800.0,both,3600.0
ALBANIA,Potatoes,1993-01-01,1485,121.0,16.05,98446,ALBANIA,3600,2800.0,both,3600.0
ALBANIA,"Rice, paddy",1993-01-01,1485,121.0,16.05,41786,ALBANIA,3600,2800.0,both,3600.0
ALBANIA,Soybeans,1993-01-01,1485,121.0,16.05,7998,ALBANIA,3600,2800.0,both,3600.0
ALBANIA,Wheat,1993-01-01,1485,121.0,16.05,29976,ALBANIA,3600,2800.0,both,3600.0
ALBANIA,Maize,1994-01-01,1485,201.0,16.96,25848,ALBANIA,3910,2880.0,both,3910.0
ALBANIA,Potatoes,1994-01-01,1485,201.0,16.96,81404,ALBANIA,3910,2880.0,both,3910.0
ALBANIA,Soybeans,1994-01-01,1485,201.0,16.96,7927,ALBANIA,3910,2880.0,both,3910.0
ALBANIA,Wheat,1994-01-01,1485,201.0,16.96,24745,ALBANIA,3910,2880.0,both,3910.0
ALBANIA,Maize,1995-01-01,1485,251.0,15.67,31300,ALBANIA,4410,2720.0,both,4410.0
ALBANIA,Potatoes,1995-01-01,1485,251.0,15.67,111323,ALBANIA,4410,2720.0,both,4410.0
ALBANIA,Soybeans,1995-01-01,1485,251.0,15.67,11791,ALBANIA,4410,2720.0,both,4410.0
ALBANIA,Wheat,1995-01-01,1485,251.0,15.67,28703,ALBANIA,4410,2720.0,both,4410.0
ALBANIA,Maize,1996-01-01,1485,313.96,15.64,32604,ALBANIA,4830,2840.0,both,4830.0
ALBANIA,Potatoes,1996-01-01,1485,313.96,15.64,106138,ALBANIA,4830,2840.0,both,4830.0
ALBANIA,Soybeans,1996-01-01,1485,313.96,15.64,15480,ALBANIA,4830,2840.0,both,4830.0
ALBANIA,Wheat,1996-01-01,1485,313.96,15.64,21741,ALBANIA,4830,2840.0,both,4830.0
ALBANIA,Maize,1997-01-01,1485,376.93,15.9,31862,ALBANIA,4330,2730.0,both,4330.0
ALBANIA,Potatoes,1997-01-01,1485,376.93,15.9,109874,ALBANIA,4330,2730.0,both,4330.0
ALBANIA,Soybeans,1997-01-01,1485,376.93,15.9,12768,ALBANIA,4330,2730.0,both,4330.0
ALBANIA,Wheat,1997-01-01,1485,376.93,15.9,28516,ALBANIA,4330,2730.0,both,4330.0
ALBANIA,Maize,1998-01-01,1485,439.89,16.27,33416,ALBANIA,4750,2730.0,both,4750.0
ALBANIA,Potatoes,1998-01-01,1485,439.89,16.27,127212,ALBANIA,4750,2730.0,both,4750.0
ALBANIA,Soybeans,1998-01-01,1485,439.89,16.27,14327,ALBANIA,4750,2730.0,both,4750.0
ALBANIA,Wheat,1998-01-01,1485,439.89,16.27,28037,ALBANIA,4750,2730.0,both,4750.0
ALBANIA,Maize,1999-01-01,1485,502.86,16.57,37455,ALBANIA,5410,2800.0,both,5410.0
ALBANIA,Potatoes,1999-01-01,1485,502.86,16.57,142018,ALBANIA,5410,2800.0,both,5410.0
ALBANIA,Soybeans,1999-01-01,1485,502.86,16.57,17143,ALBANIA,5410,2800.0,both,5410.0
ALBANIA,Wheat,1999-01-01,1485,502.86,16.57,24954,ALBANIA,5410,2800.0,both,5410.0
ALBANIA,Maize,2000-01-01,1485,565.82,16.67,38811,ALBANIA,5840,2730.0,both,5840.0
ALBANIA,Potatoes,2000-01-01,1485,565.82,16.67,141228,ALBANIA,5840,2730.0,both,5840.0
ALBANIA,Soybeans,2000-01-01,1485,565.82,16.67,15000,ALBANIA,5840,2730.0,both,5840.0
ALBANIA,Wheat,2000-01-01,1485,565.82,16.67,30455,ALBANIA,5840,2730.0,both,5840.0
ALBANIA,Maize,2001-01-01,1485,628.79,16.59,38135,ALBANIA,6390,2800.0,both,6390.0
ALBANIA,Potatoes,2001-01-01,1485,628.79,16.59,148818,ALBANIA,6390,2800.0,both,6390.0
ALBANIA,Soybeans,2001-01-01,1485,628.79,16.59,20000,ALBANIA,6390,2800.0,both,6390.0
ALBANIA,Wheat,2001-01-01,1485,628.79,16.59,28220,ALBANIA,6390,2800.0,both,6390.0
ALBANIA,Maize,2002-01-01,1485,691.75,16.47,39460,ALBANIA,6710,2860.0,both,6710.0
ALBANIA,Potatoes,2002-01-01,1485,691.75,16.47,153868,ALBANIA,6710,2860.0,both,6710.0
ALBANIA,Soybeans,2002-01-01,1485,691.75,16.47,20000,ALBANIA,6710,2860.0,both,6710.0
ALBANIA,Wheat,2002-01-01,1485,691.75,16.47,31617,ALBANIA,6710,2860.0,both,6710.0
ALBANIA,Maize,2004-01-01,1485,817.68,16.16,46197,ALBANIA,7560,2790.0,both,7560.0
ALBANIA,Potatoes,2004-01-01,1485,817.68,16.16,149346,ALBANIA,7560,2790.0,both,7560.0
ALBANIA,Soybeans,2004-01-01,1485,817.68,16.16,13333,ALBANIA,7560,2790.0,both,7560.0
ALBANIA,Wheat,2004-01-01,1485,817.68,16.16,31130,ALBANIA,7560,2790.0,both,7560.0
ALBANIA,Maize,2005-01-01,1485,880.64,15.67,45442,ALBANIA,8030,2870.0,both,8030.0
